,conversation,speaker,backchannel_given,backchannel_recieved
1,05e45b17-5feb-4a07-9562-cdba59cd8f00,5ee69bf1ebbfd2420a065289,178,139
0,35c172b6-0833-4c9e-ba7d-76e328bd943f,5aea85ab831584000180a1f6,226,84
1,35c172b6-0833-4c9e-ba7d-76e328bd943f,5ee2b44f470fa7446a470c8d,84,226
0,bb7bd0c5-2af0-444f-bec0-ef5683a94669,58f0fca0d40252000192f201,19,305
1,bb7bd0c5-2af0-444f-bec0-ef5683a94669,5ea4a34e4085724768be21a7,305,19
0,2ef0bddb-04a7-4d0e-8aba-fa7c313e5295,57af9cdda169b50001a434e3,47,113
1,2ef0bddb-04a7-4d0e-8aba-fa7c313e5295,5ea714d0ba872d0cc55cdd79,113,47
0,a90c2314-ab8b-4ce9-8af5-ad40ed4f5613,5eb35e715308a1157ae3b853,27,66
1,a90c2314-ab8b-4ce9-8af5-ad40ed4f5613,5f289ddbb09b371e42173fe3,66,27
0,4aba58d9-49c6-40f2-9c18-2676eebeac58,5dae16d241fbb6001160ce72,114,118
1,4aba58d9-49c6-40f2-9c18-2676eebeac58,5edacd8bca520571d4c0402f,118,114
0,17f79204-f746-4b86-84da-6e1fd27bf6e8,5e01ac85617219d6da5ab31c,97,109
1,17f79204-f746-4b86-84da-6e1fd27bf6e8,5f400d4a51a8cd1011b37455,109,97
0,5e6434fa-16f7-47e2-b4bd-60b0ec9e7fbc,5a50fab2f6c517000194760b,112,59
1,5e6434fa-16f7-47e2-b4bd-60b0ec9e7fbc,5e96d0eefea475161115aba9,59,112
0,0a0cf5b9-84f6-4d8d-8001-ec7fd4b7437a,5cf6231511ba980001e3aa3d,83,102
1,0a0cf5b9-84f6-4d8d-8001-ec7fd4b7437a,5f49553539747213d0e5f1ae,102,83
0,c1d3345d-ac5b-40ee-963b-47438f570cc1,5e4a1730c94447480594cea4,66,185
1,c1d3345d-ac5b-40ee-963b-47438f570cc1,5ed9df4296035b58dce21946,185,66
0,797c5a5e-9e42-4ff6-b89d-aeebf4743cf4,5f40844f08e4b91ce5dee945,116,101
1,797c5a5e-9e42-4ff6-b89d-aeebf4743cf4,5f98aeb71f6d0e1cec74defb,101,116
0,208392ba-e44a-4d2b-be77-1927ad69bc5e,5706fb93914b7100093b7925,167,127
1,208392ba-e44a-4d2b-be77-1927ad69bc5e,5dd3488e181abc35d131ef34,127,167
0,f8ee642b-46d2-4878-ad70-f03a3596ed58,5d81611eb54787000140f73a,122,69
1,f8ee642b-46d2-4878-ad70-f03a3596ed58,5eaad5dcc2e64603e5122442,69,122
0,6726f6b1-8dad-459b-8b6b-b4d2c4c6f556,5e820a4e26ed71918013d860,248,110
1,6726f6b1-8dad-459b-8b6b-b4d2c4c6f556,5f130f1ced1d352c7cd914dc,110,248
0,bce0bc62-239e-4fdd-b2b8-252a4a6df717,5d98077e74f4a002ea9a8c40,30,110
1,bce0bc62-239e-4fdd-b2b8-252a4a6df717,5eebff91bd2957196e75d9c7,110,30
0,8717c68b-129d-492f-b9d5-fde01d65b3dc,5d8cf61c8057a8001b0569be,71,241
1,8717c68b-129d-492f-b9d5-fde01d65b3dc,5ea523b2a7782138712c7e1b,241,71
0,7bfcf19d-17cb-4032-a673-2f4bb7759875,5e21d253c7fe654b45073bcf,244,138
1,7bfcf19d-17cb-4032-a673-2f4bb7759875,5f6b69d064b69d05a7c7c621,138,244
0,01a4c01c-cf0e-4f37-ab2b-641bb604af30,5e6cade3d92ffb26677dbd84,138,158
1,01a4c01c-cf0e-4f37-ab2b-641bb604af30,5f1b2282a3103e2caff2fd7b,158,138
0,a0245ade-92fe-4e22-9485-4f102adef301,5e95eb91a72181035dd053f3,33,106
1,a0245ade-92fe-4e22-9485-4f102adef301,5f6cdde7a8d71310b06e402a,106,33
0,6e5975cf-1d81-47a0-a487-7cde60912857,5ee53940e704230cfe9c301f,109,110
1,6e5975cf-1d81-47a0-a487-7cde60912857,5f40844f08e4b91ce5dee945,110,109
0,235f7b67-2ee7-4195-add8-21b41ad61f74,5deb1865986140241391d84a,161,123
1,235f7b67-2ee7-4195-add8-21b41ad61f74,5efe8b72abf513385a21eecc,123,161
0,251d923a-e4f6-4a68-9169-2f3d1f7311a7,5d30a875ad3457001743fbc9,113,104
1,251d923a-e4f6-4a68-9169-2f3d1f7311a7,5f8f590a06d17e1aafb3e50d,104,113
0,844752ba-d440-4c9c-8a90-f8e641c4b305,5ec44240144f4f30a24e7aeb,92,180
1,844752ba-d440-4c9c-8a90-f8e641c4b305,5efe1fa306bbc52e5fde738d,180,92
0,63573cd4-63b2-41d0-9d14-6e0c98b6c212,5ee9d0dfab4d21000ae469c7,116,130
1,63573cd4-63b2-41d0-9d14-6e0c98b6c212,5f1798fcec2e75013c28cfc7,130,116
0,776df112-4de3-40af-8db6-74adffe95ace,5be31317d6e8c40001d00d23,66,137
1,776df112-4de3-40af-8db6-74adffe95ace,5e21cfa097308b4b1dc8f24d,137,66
0,f1a81b38-3d6e-48ac-9ae4-b219227d62e9,5e6f930a8c586155bdfffc4b,438,44
1,f1a81b38-3d6e-48ac-9ae4-b219227d62e9,5ea373a13602a7135cee9b13,44,438
0,7a47e9ed-6bfa-499f-811b-f9e2bffc2770,5f2c32ad4fb75e0ac17a60f5,109,116
1,7a47e9ed-6bfa-499f-811b-f9e2bffc2770,5f8f826bffb7ae1fb5dad299,116,109
0,658ba8ce-5351-4433-9786-020e69923f09,5e567cd58e4500024e8d096c,61,119
1,658ba8ce-5351-4433-9786-020e69923f09,5ec453f93ba6b432bdf01d58,119,61
0,356332e8-4e95-4967-8b20-8635761dc588,5d0c3381da7493001ab3a903,221,178
1,356332e8-4e95-4967-8b20-8635761dc588,5df15bc3361a8506b94f79ed,178,221
